"","Authors","Title","Published.Year","Published.Month","Journal","Volume","Issue","Pages","DOI","Abstract"
"11","Zhang, L.; Yang, H.; Wang, K.; Zhan, Y.; Bian, L.","Measuring imported case risk of COVID-19 from inbound international flights --- A case study on China",2020,"Oct","J Air Transp Manag",89,"","101918","10.1016/j.jairtraman.2020.101918","With COVID-19 spreading around the world, many countries are exposed to the imported case risk from inbound international flights. Several governments issued restrictions on inbound flights to mitigate such risk. But with the pandemic controlled in many countries, some decide to reopen the economy by relaxing the international air travel bans. As the virus has still been prevailing in many regions, this relaxation raises the alarm to import overseas cases and results in the revival of local pandemic. This study proposes a risk index to measure one country's imported case risk from inbound international flights. The index combines both daily dynamic international air connectivity data and the updated global COVID-19 data. It can measure the risk at the country, province and even specific route level. The proposed index was applied to China, which is the first country to experience and control COVID-19 pandemic while later becoming exposed to high imported case risk after the epidemic centers switched to Europe and the US afterward. The calculated risk indexes for each Chinese province or region show both spatial and temporal patterns from January to April 2020. It is found that China's strict restriction on inbound flights since March 26 was very effective to cut the imported case risk by half than doing nothing. But the overall index level kept rising because of the deteriorating pandemic conditions around the world. Hong Kong and Taiwan are the regions facing the highest imported case risk due to their superior international air connectivity and looser restriction on inbound flights. Shandong Province had the highest risk in February and early March due to its well-developed air connectivity with South Korea and Japan when the pandemic peaked in these two countries. Since mid-March, the imported case risk from Europe and the US dramatically increased. Last, we discuss policy implications for the relevant stakeholders to use our index to dynamically adjust the international air travel restrictions. This risk index can also be applied to other contexts and countries to relax restrictions on particular low-risk routes while still restricting the high-risk ones. This would balance the essential air travels need and the requirement to minimize the imported case risk."
"12","Sulyok, M.; Walker, M. D.","Mobility and COVID-19 mortality across Scandinavia: A modeling study",2021,"27-Mar","Travel Med Infect Dis",41,"","102039","10.1016/j.tmaid.2021.102039","BACKGROUND: In response to COVID-19, the Swedish government imposed few travel and mobility restrictions. This contrasted with its Scandinavian neighbours which implemented stringent restrictions. The influence these different approaches had on mobility, and thus on COVID-19 mortality was investigated. METHODS: Datasets indicating restriction severity and community mobility were examined; Google's 'Community Movement Reports' (CMR) show activity at key location categories; the Oxford COVID-19 Government Response Tracker collates legislative restrictions into a 'Stringency Index' (SI). RESULTS: CMR mobility categories were negatively correlated with COVID-19 mortality. The strongest correlations were obtained by negatively time lagging mortality data, suggesting restrictions had a delayed influence. During the 'first wave' a model using SI (AIC 632.87) proved favorable to one using contemporaneous CMR data and SI (AIC 1193.84), or lagged CMR data and SI (AIC 642.35). Validation using 'second wave' data confirmed this; the model using SI solely again being optimal (RMSE: 0.2486 vs. 0.522 and 104.62). Cross-country differences were apparent in all models; Swedish data, independent of SI and CMR, proved significant throughout. There was a significant association for Sweden and the death number across models. CONCLUSION: SI may provide a broader, more accurate, representation of changes in movement in response to COVID-19 restrictions."
"13","Nguyen, T.; Gupta, S.; Raman, J.; Bellomo, R.; Venkatesh, S.","Geolocated Twitter-based population mobility in Victoria, Australia, during the staged COVID-19 restrictions",2020,"24-Sep","Crit Care Resusc",NA,"","","","Using geotagged Twitter data in Victoria, we created a mobility index and studied the changes during the staged restrictions during the coronavirus disease 2019 (COVID-19) pandemic. We describe preliminary evidence that geotagged Twitter data may be used to provide real-time population mobility data and information on the impact of restrictions on such mobility."
"14","Ge, J.; He, D.; Lin, Z.; Zhu, H.; Zhuang, Z.","Four-tier response system and spatial propagation of COVID-19 in China by a network model",2020,"Dec","Math Biosci",330,"","108484","10.1016/j.mbs.2020.108484","In order to investigate the effectiveness of lockdown and social distancing restrictions, which have been widely carried out as policy choice to curb the ongoing COVID-19 pandemic around the world, we formulate and discuss a staged and weighted network system based on a classical SEAIR epidemiological model. Five stages have been taken into consideration according to four-tier response to Public Health Crisis, which comes from the National Contingency Plan in China. Staggered basic reproduction number has been derived and we evaluate the effectiveness of lockdown and social distancing policies under different scenarios among 19 cities/regions in mainland China. Further, we estimate the infection risk associated with the sequential release based on population mobility between cities and the intensity of some non-pharmaceutical interventions. Our results reveal that Level I public health emergency response is necessary for high-risk cities, which can flatten the COVID-19 curve effectively and quickly. Moreover, properly designed staggered-release policies are extremely significant for the prevention and control of COVID-19, furthermore, beneficial to economic activities and social stability and development."
"15","Gozzi, N.; Tizzoni, M.; Chinazzi, M.; Ferres, L.; Vespignani, A.; Perra, N.","Estimating the effect of social inequalities on the mitigation of COVID-19 across communities in Santiago de Chile",2021,"23-Apr","Nat Commun",12,"1","2429","10.1038/s41467-021-22601-6","We study the spatio-temporal spread of SARS-CoV-2 in Santiago de Chile using anonymized mobile phone data from 1.4 million users, 22% of the whole population in the area, characterizing the effects of non-pharmaceutical interventions (NPIs) on the epidemic dynamics. We integrate these data into a mechanistic epidemic model calibrated on surveillance data. As of August 1, 2020, we estimate a detection rate of 102 cases per 1000 infections (90% CI: [95-112 per 1000]). We show that the introduction of a full lockdown on May 15, 2020, while causing a modest additional decrease in mobility and contacts with respect to previous NPIs, was decisive in bringing the epidemic under control, highlighting the importance of a timely governmental response to COVID-19 outbreaks. We find that the impact of NPIs on individuals' mobility correlates with the Human Development Index of comunas in the city. Indeed, more developed and wealthier areas became more isolated after government interventions and experienced a significantly lower burden of the pandemic. The heterogeneity of COVID-19 impact raises important issues in the implementation of NPIs and highlights the challenges that communities affected by systemic health and social inequalities face adapting their behaviors during an epidemic."
"16","Schlosser, F.; Maier, B. F.; Jack, O.; Hinrichs, D.; Zachariae, A.; Brockmann, D.","COVID-19 lockdown induces disease-mitigating structural changes in mobility networks",2020,"29-Dec","Proc Natl Acad Sci U S A",117,"52","32883-32890","10.1073/pnas.2012326117","In the wake of the COVID-19 pandemic many countries implemented containment measures to reduce disease transmission. Studies using digital data sources show that the mobility of individuals was effectively reduced in multiple countries. However, it remains unclear whether these reductions caused deeper structural changes in mobility networks and how such changes may affect dynamic processes on the network. Here we use movement data of mobile phone users to show that mobility in Germany has not only been reduced considerably: Lockdown measures caused substantial and long-lasting structural changes in the mobility network. We find that long-distance travel was reduced disproportionately strongly. The trimming of long-range network connectivity leads to a more local, clustered network and a moderation of the ""small-world"" effect. We demonstrate that these structural changes have a considerable effect on epidemic spreading processes by ""flattening"" the epidemic curve and delaying the spread to geographically distant regions."
"17","Glaeser, E. L.; Gorback, C.; Redding, S. J.","JUE Insight: How Much does COVID-19 Increase with Mobility? Evidence from New York and Four Other U.S. Cities",2020,"21-Oct","J Urban Econ",NA,"","103292","10.1016/j.jue.2020.103292","How effective are restrictions on mobility in limiting COVID-19 spread? Using zip code data across five U.S. cities, we estimate that total cases per capita decrease by 20% for every ten percentage point fall in mobility. Addressing endogeneity concerns, we instrument for travel by residential teleworkable and essential shares and find a 27% decline in cases per capita. Using panel data for NYC with week and zip code fixed effects, we estimate a decline of 17%. We find substantial spatial and temporal heterogeneity; east coast cities have stronger effects, with the largest for NYC in the pandemic's early stages."
"18","Russo, L.; Anastassopoulou, C.; Tsakris, A.; Bifulco, G. N.; Campana, E. F.; Toraldo, G.; Siettos, C.","Tracing day-zero and forecasting the COVID-19 outbreak in Lombardy, Italy: A compartmental modelling and numerical optimization approach",2020,"","PLoS One",15,"10","e0240649","10.1371/journal.pone.0240649","INTRODUCTION: Italy became the second epicenter of the novel coronavirus disease 2019 (COVID-19) pandemic after China, surpassing by far China's death toll. The disease swept through Lombardy, which remained in lockdown for about two months, starting from the 8th of March. As of that day, the isolation measures taken in Lombardy were extended to the entire country. Here, assuming that effectively there was one case ""zero"" that introduced the virus to the region, we provide estimates for: (a) the day-zero of the outbreak in Lombardy, Italy; (b) the actual number of asymptomatic infected cases in the total population until March 8; (c) the basic (R0)and the effective reproduction number (Re) based on the estimation of the actual number of infected cases. To demonstrate the efficiency of the model and approach, we also provide a tentative forecast two months ahead of time, i.e. until May 4, the date on which relaxation of the measures commenced, on the basis of the COVID-19 Community Mobility Reports released by Google on March 29. METHODS: To deal with the uncertainty in the number of the actual asymptomatic infected cases in the total population Volpert et al. (2020), we address a modified compartmental Susceptible/ Exposed/ Infectious Asymptomatic/ Infected Symptomatic/ Recovered/ Dead (SEIIRD) model with two compartments of infectious persons: one modelling the cases in the population that are asymptomatic or experience very mild symptoms and another modelling the infected cases with mild to severe symptoms. The parameters of the model corresponding to the recovery period, the time from the onset of symptoms to death and the time from exposure to the time that an individual starts to be infectious, have been set as reported from clinical studies on COVID-19. For the estimation of the day-zero of the outbreak in Lombardy, as well as of the ""effective"" per-day transmission rate for which no clinical data are available, we have used the proposed SEIIRD simulator to fit the numbers of new daily cases from February 21 to the 8th of March. This was accomplished by solving a mixed-integer optimization problem. Based on the computed parameters, we also provide an estimation of the basic reproduction number R0 and the evolution of the effective reproduction number Re. To examine the efficiency of the model and approach, we ran the simulator to ""forecast"" the epidemic two months ahead of time, i.e. from March 8 to May 4. For this purpose, we considered the reduction in mobility in Lombardy as released on March 29 by Google COVID-19 Community Mobility Reports, and the effects of social distancing and of the very strict measures taken by the government on March 20 and March 21, 2020. RESULTS: Based on the proposed methodological procedure, we estimated that the expected day-zero was January 14 (min-max rage: January 5 to January 23, interquartile range: January 11 to January 18). The actual cumulative number of asymptomatic infected cases in the total population in Lombardy on March 8 was of the order of 15 times the confirmed cumulative number of infected cases, while the expected value of the basic reproduction number R0 was found to be 4.53 (min-max range: 4.40- 4.65). On May 4, the date on which relaxation of the measures commenced the effective reproduction number was found to be 0.987 (interquartiles: 0.857, 1.133). The model approximated adequately two months ahead of time the evolution of reported cases of infected until May 4, the day on which the phase I of the relaxation of measures was implemented over all of Italy. Furthermore the model predicted that until May 4, around 20% of the population in Lombardy has recovered (interquartile range: ‚àº10% to ‚àº30%)."
"19","Bhowmik, T.; Tirtha, S. D.; Iraganaboina, N. C.; Eluru, N.","A comprehensive analysis of COVID-19 transmission and mortality rates at the county level in the United States considering socio-demographics, health indicators, mobility trends and health care infrastructure attributes",2021,"","PLoS One",16,"4","e0249133","10.1371/journal.pone.0249133","BACKGROUND: Several research efforts have evaluated the impact of various factors including a) socio-demographics, (b) health indicators, (c) mobility trends, and (d) health care infrastructure attributes on COVID-19 transmission and mortality rate. However, earlier research focused only on a subset of variable groups (predominantly one or two) that can contribute to the COVID-19 transmission/mortality rate. The current study effort is designed to remedy this by analyzing COVID-19 transmission/mortality rates considering a comprehensive set of factors in a unified framework. METHODS AND FINDINGS: We study two per capita dependent variables: (1) daily COVID-19 transmission rates and (2) total COVID-19 mortality rates. The first variable is modeled using a linear mixed model while the later dimension is analyzed using a linear regression approach. The model results are augmented with a sensitivity analysis to predict the impact of mobility restrictions at a county level. Several county level factors including proportion of African-Americans, income inequality, health indicators associated with Asthma, Cancer, HIV and heart disease, percentage of stay at home individuals, testing infrastructure and Intensive Care Unit capacity impact transmission and/or mortality rates. From the policy analysis, we find that enforcing a stay at home order that can ensure a 50% stay at home rate can result in a potential reduction of about 33% in daily cases. CONCLUSIONS: The model framework developed can be employed by government agencies to evaluate the influence of reduced mobility on transmission rates at a county level while accommodating for various county specific factors. Based on our policy analysis, the study findings support a county level stay at home order for regions currently experiencing a surge in transmission. The model framework can also be employed to identify vulnerable counties that need to be prioritized based on health indicators for current support and/or preferential vaccination plans (when available)."
"20","Francetic, I.; Munford, L.","Corona and Coffee on your commute: A spatial analysis of COVID-19 mortality and commuting flows in England in 2020",2021,"19-Apr","Eur J Public Health",NA,"","","10.1093/eurpub/ckab072","BACKGROUND: The COVID-19 pandemic forced governments to implement lockdown policies to curb the spread of the disease. These policies explicitly encouraged homeworking, hence reducing the number of commuters with the implicit assumption that restricting peoples' movement reduces risk of infection for travellers and other people in their areas of residence and work. Yet, the spatial interrelation of different areas has been rarely addressed both in the public discourse and in early accounts of the various consequences of COVID-19. METHODS: Our study proposes a spatial analysis of the association between commuting flows and COVID-19 mortality in England between March and June 2020, using a range of publicly available area-level data. To account for spatial correlation, we used a structural mobility gravity model to analyse commuting flows between Local Authority Districts. By accounting for these spatial dependencies, we temper concerns of bias and inefficiency affecting simple linear estimates. Additionally, we disentangle the direct and indirect (from other areas) influence of commuting on COVID-19 mortality. RESULTS: The results of our spatial regression models suggest that higher commuting flows - in general and particularly by public transport - are associated with higher COVID-19 mortality. Our results are consistent with a reduction in COVID-related mortality after the introduction of a national lockdown in March. The spatial-lag term is statistically significant, highlighting the importance of accounting for spatial dependencies. CONCLUSION: We suggest that considering spatial interactions through commuting or travel motivations may offer interesting perspectives on the trade-off between health and economic activity during lockdowns."
